price_ori,delivery,item_category_detail,title,item_rating,seller_name,price_actual
0.19,"KL City, Kuala Lumpur",Shopee | Tickets & Vouchers | Services | Others,"Cheng, Course Hero, Studocu, Quizzlet, Scribd, Bartleby, Academia Unlock | Shopee Malaysia",4.9,istund.co,0.19
30,,Shopee | Sports & Outdoor | Men's Sports Shoes | Others,⭐️HOT ITEM💯 connect socks stokin potong football futsal sports n1ke dan adid@s | Shopee Malaysia,5,spfc_sports,13
0.27,,Shopee | Others | Fengshui & Religious Supplies,红杯 水杯 茶杯 酒杯 RED CUP 精美塑料水杯 拜神杯 祖先杯 招财 水杯 茶杯 酒杯 / 高脚 平脚 供水杯 / 塑料杯 供佛拜神 茶杯 酒杯 / 供水杯 供 - 龍山 | Shopee Malaysia,4.9,longsanss,0.27
0.15,,Shopee | Others | Fengshui & Religious Supplies,封条/路票 清明 纸扎 祭品 ancestor 清明节 祭拜 祖先 | Shopee Malaysia,4.9,ynenterprise,0.15
100,"KL City, Kuala Lumpur",Shopee | Mobile & Accessories | Selfie Accessories | Monopod,Phone-Stabilizer Anti-Shake Handheld Gimbal Shooting Tripod Selfie Stick Live Gimbal Camera /Phone Holder/Tripod Stand | Shopee Malaysia,4.8,allblue5367,89
69.9,,Shopee | Women Clothes | Sports & Beachwear | Swimsuits,[READY STOCK]3PCS with Outwear Korean Lace Design Swimsuit Summer Swimsuit Swimwear Bikini/现货气质蕾丝三件套泳装[L197] | Shopee Malaysia,4.9,laceleymy,48.9
0.73,,Shopee | Gaming & Consoles | Top-ups & Reloads,𝐇 𝐏 𝐉 𝐘 点 券 手 册 SS12赛季 秒速发货 | Shopee Malaysia,5,yt_studio88,0.73
0.7,,Shopee | Health & Beauty | Bath & Body | Body Wash & Soap,【Read yStock]Authentic Shanghai Sulfur Soap 85g Fungus Bath Healthy soap bar上海硫磺皂 | Shopee Malaysia,4.9,linglifung,0.7
4.5,,"Shopee | Games, Books & Hobbies | Other Languages Books | Literature & Novels",礼品3D太空挂件一个 | Shopee Malaysia,4.9,meitesb.my,4.46
39.9,"KL City, Kuala Lumpur",Shopee | Men Shoes | Loafers & Slip-Ons | Slip Ons & Mules,[SIZE 40-45] MJS Wholesale Clogs Men Clogs Shoes Clog Shoes Men Shoes Men Clogs Sandal Kasut Clogs Lelaki MJS8819 | Shopee Malaysia,4.8,mjswholesale,19.9
