price_ori,delivery,item_category_detail,title,item_rating,seller_name,price_actual
7.9,,Baby & Toys | Kids Health & Skincare | Nasal Care,Nose Cleanser / Nasal Washer/ Nasal Rhinitis Washer Needle Tube Baby Aspirator Wash Syringe Pembersih Hidung Bayi,4.9,cutebaby3enterprise,4.9
1.0,"KL City, Kuala Lumpur",Gaming & Consoles | Consoles | Playstation,FIFA 23 FUT COINS (PS4/PS5/PC),5,yuanru97,1.0
9.99,,Baby & Toys | Baby Safety | Mosquito Net,Baby Safety Protector Child Cabinet locking Plastic Lock Protection of Children Locking From Doors Drawer,4.9,momohouse.os,0.88
78.8,"KL City, Kuala Lumpur",Home Appliances | Landline Phones | Wired Phone,PANASONIC KX-TS500ML TS500 Corded Single Line PABX Phone House Office Home Landline,5,fasttech01,42.9
25.8,"KL City, Kuala Lumpur",Men Shoes | Formal Shoes | Oxfords & Lace-Ups,"[100% real leather] men's leather shoes, leather casual shoes, men's breathable ox tendon soft soled driving shoes",4.8,zhaoyafang.my,15.23
0.3,,Health & Beauty | Personal Pleasure | Adult Toys,COCK RING RANDOM COLOUR,4.9,chen01161512053,0.3
0.95,,Baby & Toys | Feeding & Nursing | Bottle Feeding,Mamababy Puting Botol Susu Slimneck Puting Susu teat for Baby Bottle all brand slimneck bottle pupici,4.9,fantastic.pro.empire,0.46
1.6,,Home Appliances | Home Entertainment | Amplifiers & Receivers,[[MissCherry]] 10PCS Silicone Upgrade Headphone Eartips Noise Isolating With S M M- L Size [Hot Sell],5,inthespreba.my,1.0
4.29,,Baby & Toys | Baby Safety | Mosquito Net,【LOCAL SHIP】🔒Pengunci Laci L-Shape Children Baby Safety Lock Cupboard Cabinet Door Drawer Universal Security Lock🔒,4.9,rainkoay,1.14
17.23,,Women Clothes | Maternity Wear | Innerwear,Nursing Breathable Breastfeeding Bra Seamless Maternity Underwear For Pregnancy Women Anti-drooping Push Up,4.9,ghszfz.my,8.28
10.99,,Women Clothes | Maternity Wear | Innerwear,LFM_Angel Mommy Nursing Bra Maternity Breastfeeding Bra Push up Cotton Breathable Seamless Pregnancy Women Underwear 937,4.3,ladyfashionmall,6.49
135.0,,Health & Beauty | Skincare | Face Mask & Packs,"[Torriden Official] DIVE IN Low Molecular Hyaluronic Acid Facial Serum Sheet Mask, 100% Cellulose Sheets for daily use, 10ea",4.9,torridenofficial.os,68.0
6.8,,Mobile & Accessories | Mobile Phones | Other Brands,Liquid silicone case OPPO A16 A54 A5S A3S A12 A53 A31 A5 A9 2020 A15S A92 A15 A52 RENO5 A12E cartoon full protection cam,4.8,temple7777777.my,6.46
141.0,"KL City, Kuala Lumpur",Women Clothes | Traditional Wear | Tops,(ONE SET) SET TUNIC KAFTAN VISCOSE+KAIN SONGKET( SONGKET TENUN)☑️SET BATIK KAFTAN☑️KAFTAN VIRAL☑️KAFTAN VISCOSE MURAH,4.8,fazdesign82,139.5
6.99,,Mobile & Accessories | Screen Protectors | Others,(BELI 2 PERCUMA 1) REALME Tempered Glass Screen Protector FULL COVER 9D 50i/9i/C35/9Pro/50/GT2Pro/9/Neo3/C30/C33/10/C55,4.9,yieloo_wholesale,2.79
1.99,"KL City, Kuala Lumpur",Mobile & Accessories | Cases & Covers | iPhone Cases & Covers,HEALTHFUL Transparent Clear TPU Soft Case Cover IPhone 13/12/11/XS Max/X/XR/8/7/6/6SPlus/5S/5/SE Premium Quality,4.6,ying.healthful,0.99
